,id,series_id,tournament_id,event_id,version,minor_version,dataset_id,dataset_version,platform_id,ladder_id,rated,winning_team_id,builtin_map_id,map_size_id,map_name,event_map_id,rms_custom,rms_seed,fixed_positions,played,platform_match_id,duration,completed,postgame,type_id,difficulty_id,population_limit,map_reveal_choice_id,cheats,speed_id,mirror,diplomacy_type,team_size,starting_resources_id,starting_age_id,victory_condition_id,all_technologies,version_id,multiqueue,treaty_length,build,version_id,starting_palisades,starting_town_centers,starting_walls,state_reader_interval,state_reader_version,platform_metadata,water_percent,server
20,1129984,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1210115559,False,2019-11-19 00:48:15.553012,20942182,0 days 00:36:25.000000000,True,True,0,0,200,0,False,178,False,1v1,1v1,0,2,1,False,20,,,,20,,,,,,,,
21,1129991,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1466644187,False,2019-11-19 00:45:17.748726,20942168,0 days 01:01:01.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
22,1130009,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,379530024,False,2019-11-19 00:32:22.740801,20942117,0 days 00:34:16.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
23,1130017,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-722937076,False,2019-11-19 00:27:24.748940,20942101,0 days 00:58:17.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
24,1131515,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-376072679,False,2019-11-19 11:54:06.411602,20943848,0 days 00:52:00.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
25,1131517,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,315722944,False,2019-11-19 11:52:06.994822,20943846,0 days 00:52:47.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
26,1131521,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,410160333,False,2019-11-19 11:45:08.130908,20943835,0 days 00:28:55.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
27,1131534,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,11191073,False,2019-11-19 11:27:12.057595,20943799,0 days 00:46:04.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
28,1131544,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-815761717,False,2019-11-19 11:16:15.272355,20943782,0 days 00:27:32.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
29,1131630,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1424881541,False,2019-11-19 12:25:13.155872,20943893,0 days 00:51:29.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
30,1131633,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1727065472,False,2019-11-19 12:16:13.923333,20943883,0 days 00:25:47.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
31,1131636,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-951317925,False,2019-11-19 12:12:14.742232,20943878,0 days 00:26:07.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
32,1131638,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1648229214,False,2019-11-19 12:11:15.264002,20943875,0 days 00:40:40.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
33,1131712,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,905711270,False,2019-11-19 13:55:06.379011,20944071,0 days 00:28:51.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
34,1131720,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,301440272,False,2019-11-19 13:44:09.123285,20944050,0 days 01:05:57.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
35,1131722,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,299537549,False,2019-11-19 13:42:09.744211,20944045,0 days 00:24:57.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
36,1131724,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1990878805,False,2019-11-19 13:36:10.241544,20944037,0 days 00:50:27.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
37,1131754,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1894545310,False,2019-11-19 13:01:18.532072,20943970,0 days 00:57:40.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
38,1131730,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-526955144,False,2019-11-19 13:30:11.777113,20944023,0 days 01:00:46.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
39,1131746,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,1751503289,False,2019-11-19 13:11:16.374218,20943986,0 days 01:14:10.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
40,1131816,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,1582233480,False,2019-11-19 14:57:06.006474,20944208,0 days 00:29:44.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
41,1131824,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1662213293,False,2019-11-19 14:52:09.323037,20944192,0 days 00:46:19.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
42,1131836,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1057289421,False,2019-11-19 14:41:13.573027,20944166,0 days 00:42:12.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
43,1131845,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1048332023,False,2019-11-19 14:31:15.986356,20944137,0 days 00:34:55.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
44,1131863,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,2096879765,False,2019-11-19 14:03:20.096262,20944086,0 days 00:51:14.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
45,1131852,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-2059292376,False,2019-11-19 14:21:17.592663,20944123,0 days 00:52:39.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
46,1131864,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-817004714,False,2019-11-19 14:01:20.282615,20944084,0 days 00:27:43.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
