,id,hash,series_id,tournament_id,event_id,version,minor_version,dataset_id,dataset_version,platform_id,ladder_id,rated,winning_team_id,builtin_map_id,map_size_id,map_name,event_map_id,rms_zr,rms_custom,rms_seed,guard_state,fixed_positions,direct_placement,effect_quantity,played,added,platform_match_id,duration,completed,restored,postgame,type_id,difficulty_id,population_limit,map_reveal_choice_id,cheats,speed_id,lock_teams,mirror,diplomacy_type,team_size,starting_resources_id,starting_age_id,victory_condition_id,team_together,all_technologies,lock_speed,multiqueue,lobby_name,treaty_length,build,map_tiles,has_playback,game_version,save_version,version_id,hc,starting_palisades,starting_town_centers,starting_walls,state_reader_interval,state_reader_runtime,state_reader_version,platform_metadata,water_percent,lobby_private,lobby_opened,server,log_version
100,1838419,ce758f1bdb25cb86cc9f7eda69c1fc0730005e26,199818619,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,9.0,120,Arabia,,False,False,,False,False,False,False,2009-03-08 00:46:46.000000,2020-04-17 23:22:00.330705,,0 days 00:36:47.475000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e6726d0>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.0,,,,4.0
101,1958372,36905a6f9497fb6414457899f43732a033a87558,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,29.0,120,Arena,,False,False,,False,False,False,False,2009-04-14 19:36:28.000000,2020-05-04 12:35:16.011658,,0 days 00:49:54.750000000,True,False,False,0,3,200,2,False,150,True,False,1v1,1v1,,,,,,,,,,,<memory at 0x11e6727a0>,,VER 9.4,11.76,8,,False,1.0,True,,,,,0.0,,,,4.0
102,1958371,deb6e2f677417827d251caf29635bb8365b8f6e5,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,29.0,120,Arena,,False,False,,False,False,False,False,2009-04-14 18:55:38.000000,2020-05-04 12:35:10.891183,,0 days 00:49:40.620000000,True,False,False,0,3,200,2,False,150,True,False,1v1,1v1,,,,,,,,,,,<memory at 0x11e672870>,,VER 9.4,11.76,8,,False,1.0,True,,,,,0.0,,,,4.0
103,1958370,4d65f6f6f5f279c505a4c8a5dc64f3ce726e8fcf,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,9.0,120,Arabia,,False,False,,False,False,False,False,2009-04-14 18:23:02.000000,2020-05-04 12:35:06.702229,,0 days 00:44:34.845000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672940>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.0,,,,4.0
104,1958369,533a77d66589f5c657c96b44da92212a9850e910,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,9.0,120,Arabia,,False,False,,False,False,False,False,2009-04-14 17:13:54.000000,2020-05-04 12:35:03.872223,,0 days 00:28:19.155000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672a10>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.0103472222222222,,,,4.0
105,1958368,5dadbd19ffc9ada248b28b51dfa9ad8000f2d094,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,0,9.0,120,Arabia,,False,False,,False,False,False,False,2009-04-14 17:20:12.000000,2020-05-04 12:35:01.073828,,0 days 00:04:26.310000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672ae0>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.0102777777777778,,,,4.0
106,1958367,cc2d406cc70c60b4a57dffb91ff8c0d157c46572,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,1,9.0,120,Arabia,,False,False,,False,False,False,False,2009-04-14 17:48:28.000000,2020-05-04 12:34:57.978584,,0 days 00:37:33.645000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672bb0>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.01,,,,4.0
107,1958366,1526eecb37479531bbf0eb1039da1bffa74446d7,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,0,23.0,144,Team Islands,,False,False,,False,False,False,False,2009-04-14 20:15:00.000000,2020-05-04 12:34:53.510257,,0 days 00:21:31.500000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672c80>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.486593364197531,,,,4.0
108,1958365,097c7cec8f0ad1ca36e4322cb903b127859d0dfb,199818618,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,igz,,,0,,120,MFO@DoubleArabia,,False,True,,False,False,False,False,2009-04-14 20:32:18.000000,2020-05-04 12:34:48.450807,,0 days 00:19:50.475000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672d50>,,VER 9.4,11.76,8,,False,2.0,False,,,,,0.0103472222222222,,,,4.0
109,1992253,5bfc085f83aca25619cc6c1daad3d7703f422bfb,199818617,3032141acdc35ab4d482ab4a-bcc2_s1,bcc2,,,0,1.0c,,,,0,9.0,120,Arabia,,False,False,,False,False,False,False,2020-05-03 11:51:03.543000,2020-05-09 17:15:30.896277,,0 days 00:49:09.885000000,True,False,False,0,3,200,0,False,150,True,True,1v1,1v1,,,,,,,,,,,<memory at 0x11e672e20>,,VER 9.4,11.76,8,,False,1.0,False,,,,,0.0,,,,4.0
